Estrutura Utilizada: chained
Tamanho da tabela: 5315 palavras
Tempo para finalizar a tabela (em milissegundos): 27 milissegundos
Quantidade de comparações: 105718

Dicionário de Palavras:

|------------------------------|
| dropped         | 15         |
| droppin         | 1          |
| dropping        | 1          |
| drops           | 2          |
| drove           | 8          |
| drowned         | 1          |
| drowsily        | 5          |
| drowsy          | 3          |
| drumsticks      | 1          |
| drunk           | 2          |
| drunken         | 1          |
| dry             | 7          |
| dry-looking     | 1          |
| dryest          | 1          |
| dryly           | 2          |
| dug             | 12         |
| dull            | 8          |
| during          | 6          |
| duties          | 4          |
| duty            | 3          |
| dwarf           | 1          |
| dying           | 9          |
| e               | 22         |
| e-mail          | 1          |
| each            | 53         |
| eager           | 7          |
| eagerly         | 7          |
| eagerness       | 4          |
| ear             | 2          |
| early           | 12         |
| earnest         | 2          |
| ears            | 8          |
| earth           | 60         |
| easier          | 4          |
| easiest         | 1          |
| easily          | 5          |
| east            | 1          |
| easy            | 8          |
| eat             | 22         |
| eaten           | 4          |
| eatin           | 1          |
| eating          | 3          |
| eats            | 1          |
| ebook           | 13         |
| ebooks          | 7          |
| echoed          | 2          |
| ecstasy         | 2          |
| edge            | 9          |
| edition         | 1          |
| editions        | 4          |
| educational     | 1          |
| effect          | 4          |
| effort          | 3          |
| efforts         | 4          |
| egg             | 4          |
| eggs            | 17         |
| eh              | 65         |
| eh-h-h          | 1          |
| eight           | 3          |
| ein             | 1          |
| either          | 15         |
| elaborately     | 1          |
| elbow           | 1          |
| elbows          | 2          |
| elderly         | 2          |
| elders          | 1          |
| elect           | 1          |
| electric        | 1          |
| electricity     | 1          |
| electronic      | 27         |
| electronically  | 2          |
| elephants       | 9          |
| eleven          | 1          |
| elfish          | 1          |
| ellen           | 4          |
| else            | 26         |
| elsewhere       | 1          |
| em              | 78         |
| email           | 2          |
| embarrassed     | 1          |
| embowered       | 1          |
| embroidered     | 3          |
| emeralds        | 2          |
| emotion         | 1          |
| employed        | 1          |
| employee        | 1          |
| employees       | 1          |
| empty           | 9          |
| encircled       | 1          |
| enclosed        | 2          |
| encouragingly   | 1          |
| end             | 30         |
| ended           | 19         |
| endless         | 1          |
| ends            | 1          |
| endure          | 1          |
| energetic       | 1          |
| engagingly      | 1          |
| england         | 11         |
| english         | 7          |
| enjoy           | 4          |
| enjoyed         | 8          |
| enjoyin         | 3          |
| enjoying        | 1          |
| enjoyment       | 2          |
| enormous        | 2          |
| enough          | 52         |
| enow            | 6          |
| enraptured      | 2          |
| ensuring        | 1          |
| entered         | 12         |
| entertained     | 1          |
| entertaining    | 2          |
| entertainment   | 1          |
| entire          | 3          |
| entirely        | 4          |
| entity          | 3          |
| entrance        | 2          |
| entranced       | 2          |
| envelope        | 2          |
| equals          | 1          |
| equipment       | 3          |
| ere             | 4          |
| errands         | 2          |
| errors          | 1          |
| escaped         | 1          |
| especially      | 2          |
| estate          | 1          |
| etc             | 1          |
| europe          | 1          |
| even            | 84         |
| evening         | 4          |
| event           | 1          |
| events          | 1          |
| ever            | 123        |
| evergreen       | 2          |
| evergreens      | 1          |
| every           | 78         |
| everybody       | 21         |
| everyone        | 17         |
| everything      | 40         |
| everywhere      | 9          |
| evident         | 2          |
| evidently       | 9          |
| exact           | 1          |
| exactly         | 9          |
| exaggerated     | 1          |
| examined        | 3          |
| examining       | 1          |
| except          | 15         |
| excited         | 16         |
| excitedly       | 3          |
| excitement      | 12         |
| excites         | 1          |
| exciting        | 2          |
| exclaimed       | 22         |
| exclamation     | 2          |
| exclamations    | 1          |
| exclusion       | 1          |
| excursions      | 1          |
| excuse          | 2          |
| excuses         | 1          |
| exempt          | 2          |
| exercise        | 6          |
| exercised       | 2          |
| exercises       | 5          |
| exhibited       | 1          |
| existence       | 1          |
| exists          | 1          |
| expanse         | 2          |
| expect          | 3          |
| expected        | 5          |
| expend          | 1          |
| expense         | 1          |
| expenses        | 2          |
| experienced     | 1          |
| experiment      | 13         |
| explain         | 3          |
| explained       | 15         |
| explanation     | 2          |
| explore         | 3          |
| explored        | 1          |
| exploring       | 1          |
| exporting       | 1          |
| express         | 1          |
| expressed       | 1          |
| expression      | 17         |
| extend          | 1          |
| extended        | 2          |
| extent          | 1          |
| extra           | 2          |
| extraordinarily | 1          |
| extreme         | 1          |
| extremely       | 2          |
| exultantly      | 6          |
| exultation      | 1          |
| eye             | 4          |
| eye-teeth       | 1          |
| eyes            | 135        |
| f               | 11         |
| face            | 117        |
| faced           | 1          |
| faces           | 8          |
| facility        | 1          |
| fact            | 21         |
| fading          | 1          |
| faint           | 5          |
| faintly         | 1          |
| fair            | 19         |
| fairies         | 1          |
| fairly          | 2          |
| fairy           | 5          |
| fairy-like      | 1          |
| fairy-story     | 1          |
| faith           | 1          |
| fakirs          | 4          |
| fall            | 1          |
| fallen          | 3          |
| falling         | 6          |
| falls           | 2          |
| falter          | 1          |
| faltered        | 4          |
| familiar        | 3          |
| familiarly      | 1          |
| family          | 2          |
| fancied         | 1          |
| fanciful        | 1          |
| fancy           | 7          |
| fantastically   | 1          |
| far             | 16         |
| far-away        | 1          |
| far-off         | 6          |
| far-reaching    | 2          |
| farther         | 4          |
| fascinating     | 3          |
| fascination     | 1          |
| fashion         | 6          |
| fast            | 12         |
| fastened        | 3          |
| fastenings      | 1          |
| faster          | 5          |
| fat             | 9          |
| fatal           | 1          |
| fatally         | 1          |
| father          | 40         |
| fathers         | 2          |
| fattens         | 1          |
| fatter          | 12         |
| fauntleroy      | 1          |
| favor           | 1          |
| favorite        | 2          |
| fear            | 5          |
| feared          | 1          |
| fearfully       | 1          |
| fears           | 3          |
| feast           | 1          |
| feather         | 2          |
| feathered       | 1          |
| feathers        | 3          |
| feathery        | 1          |
| features        | 1          |
| fed             | 1          |
| federal         | 2          |
| fee             | 8          |
| feed            | 2          |
| feeding         | 1          |
| feeding-bottle  | 1          |
| feeding-lamb    | 1          |
| feel            | 60         |
| feeling         | 20         |
| feels           | 6          |
| fees            | 4          |
| feet            | 42         |
| fell            | 18         |
| fellow          | 2          |
| felt            | 109        |
| ferns           | 1          |
| ferociously     | 1          |
| ferrets         | 1          |
| fettleworth     | 2          |
| fever           | 6          |
| feverish        | 3          |
| few             | 49         |
| field-mice      | 1          |
| fields          | 1          |
| fierce          | 2          |
| fiercely        | 4          |
| fifteen         | 1          |
| fifth           | 1          |
| fight           | 4          |
| fightin         | 1          |
| fighting        | 3          |
| figure          | 2          |
| figures         | 1          |
| file            | 1          |
| files           | 1          |
| fill            | 2          |
| filled          | 13         |
| fillin          | 1          |
| filling         | 6          |
| film            | 2          |
| filtered        | 1          |
| final           | 1          |
| financial       | 1          |
| find            | 53         |
| findin          | 2          |
| finding         | 6          |
| finds           | 3          |
| fine            | 19         |
| finer           | 1          |
| finest          | 1          |
| finger          | 3          |
| fingering       | 1          |
| fingers         | 4          |
| finish          | 1          |
| finished        | 8          |
| finishing       | 1          |
| fiords          | 1          |
| fire            | 17         |
| fire-light      | 1          |
| fired           | 1          |
| fireplace       | 1          |
| firm            | 2          |
| firmly          | 2          |
| firmness        | 1          |
| first           | 97         |
| first-rate      | 1          |
| fist            | 4          |
| fit             | 3          |
| fitness         | 1          |
| fits            | 3          |
| fitted          | 1          |
| five            | 16         |
| five-mile       | 1          |
| fix             | 1          |
| fixed           | 12         |
| fixedly         | 1          |
| flags           | 1          |
| flaming         | 1          |
| flap            | 1          |
| flapped         | 2          |
| flare           | 1          |
| flash           | 1          |
| flashed         | 1          |
| flashing        | 1          |
| flat            | 4          |
| flattered       | 1          |
| flavor          | 1          |
| fledge          | 1          |
| fledged         | 1          |
| fledgling       | 1          |
| fleece          | 1          |
| flesh           | 7          |
| flew            | 26         |
| flick           | 1          |
| flies           | 3          |
| flight          | 7          |
| flightiness     | 1          |
| flights         | 4          |
| flirt           | 1          |
| flirted         | 2          |
| flirtin         | 1          |
| float           | 1          |
| floated         | 1          |
| floating        | 2          |
| flood           | 1          |
| flooded         | 1          |
| floor           | 5          |
| flout           | 1          |
| flow            | 2          |
| flower          | 14         |
| flower-bed      | 4          |
| flower-beds     | 4          |
| flower-seeds    | 1          |
| flowerbed       | 1          |
| flowerin        | 1          |
| flowering       | 1          |
| flowers         | 31         |
| flown           | 7          |
| fluently        | 1          |
| flung           | 2          |
| flush           | 1          |
| flushed         | 9          |
| flushing        | 2          |
| flustered       | 1          |
| flusters        | 1          |
| flute           | 3          |
| fluting         | 2          |
| flutter         | 1          |
| flutterin       | 2          |
| fluttering      | 1          |
| fly             | 12         |
| flyin           | 1          |
| flying          | 3          |
| fold            | 3          |
| folded          | 2          |
| folds           | 1          |
| folk            | 14         |
| folks           | 3          |
| follow          | 2          |
| followed        | 11         |
| following       | 9          |
| follows         | 1          |
| fond            | 16         |
| food            | 16         |
| fool            | 1          |
| fools           | 3          |
| foot            | 8          |
| footman         | 6          |
| footsteps       | 3          |
| footstool       | 7          |
| for             | 359        |
| foragin         | 1          |
| forcing         | 1          |
| forehead        | 14         |
| foreign         | 2          |
| forest          | 2          |
| forever         | 11         |
| forevermore     | 1          |
| forget          | 15         |
| forget-me-nots  | 1          |
| forgettin       | 1          |
| forgetting      | 4          |
| forgot          | 14         |
| forgotten       | 7          |
| fork            | 6          |
| form            | 5          |
| format          | 4          |
| formats         | 1          |
| formed          | 2          |
| forrad          | 1          |
| forsaken        | 1          |
| forth           | 16         |
| forty           | 1          |
| forward         | 14         |
| fou             | 1          |
| found           | 94         |
| foundation      | 25         |
| fountain        | 10         |
| fountains       | 1          |
| four            | 11         |
| four-posted     | 6          |
| fours           | 1          |
| fourteen        | 5          |
| fowl            | 1          |
| fox             | 17         |
| foxes           | 10         |
| foxglove        | 1          |
| frames          | 2          |
| france          | 1          |
| frances         | 2          |
| frankly         | 1          |
| frankness       | 1          |
| free            | 6          |
| freedom         | 2          |
| freely          | 4          |
| french          | 3          |
| frenchman       | 1          |
| fresh           | 48         |
| freshly         | 1          |
| freshness       | 1          |
| fretful         | 8          |
| fretfully       | 3          |
| frets           | 1          |
| fretted         | 2          |
| frettin         | 2          |
| friend          | 5          |
| friendliest     | 1          |
| friendliness    | 1          |
| friendly        | 10         |
| friends         | 15         |
| fright          | 4          |
| frighten        | 6          |
| frightened      | 27         |
| frightening     | 2          |
| frightfully     | 1          |
| fringe          | 2          |
| frocks          | 2          |
| frogs           | 1          |
| from            | 180        |
| front           | 2          |
| frothed         | 1          |
| frowned         | 5          |
| frowning        | 6          |
| fruit           | 2          |
| fruit-trees     | 2          |
| full            | 47         |
| fuller          | 2          |
| fumblin         | 1          |
| fun             | 9          |
| funny           | 17         |
| furies          | 1          |
| furious         | 4          |
| furiously       | 1          |
| furniture       | 4          |
| further         | 1          |
| future          | 3          |
| gabbled         | 1          |
| gaily           | 1          |
| gain            | 2          |
| gained          | 3          |
| gaining         | 3          |
| galleries       | 1          |
| gallery         | 2          |
| games           | 2          |
| gapin           | 2          |
| garden          | 233        |
| gardener        | 15         |
| gardeners       | 9          |
| gardenin        | 1          |
| gardening       | 7          |
| gardens         | 30         |
| garlands        | 2          |
| gasp            | 4          |
| gasped          | 12         |
| gasping         | 1          |
| gate            | 5          |
| gates           | 1          |
| gathered        | 2          |
| gauze           | 2          |
| gave            | 39         |
| gay             | 2          |
| gaze            | 2          |
| gazed           | 15         |
| gazing          | 4          |
| general         | 3          |
| generally       | 1          |
| generals        | 1          |
| generation      | 1          |
| generations     | 2          |
| gentians        | 1          |
| gentle          | 5          |
| gentleman       | 2          |
| gentlemen       | 1          |
| gently          | 5          |
| gentry          | 1          |
| germ            | 1          |
| germany         | 1          |
| get             | 118        |
| gets            | 11         |
| gettin          | 3          |
| getting         | 12         |
| ghost           | 8          |
| giant           | 2          |
| gibberish       | 2          |
| gift            | 1          |
| giggle          | 1          |
| giggled         | 3          |
| giggling        | 1          |
| girl            | 29         |
| girls           | 2          |
| give            | 41         |
| given           | 11         |
| gives           | 1          |
| givin           | 3          |
| giving          | 2          |
| glad            | 33         |
| gladly          | 2          |
| glance          | 3          |
| glanced         | 4          |
| glancing        | 2          |
| glared          | 1          |
| glaring         | 1          |
| glass           | 6          |
| gleam           | 1          |
| gliding         | 1          |
| glimmer         | 1          |
| glimpse         | 3          |
| glimpses        | 3          |
| glistening      | 1          |
| gloating        | 1          |
| gloom           | 2          |
| gloomy          | 5          |
| glories         | 1          |
| glossy          | 2          |
| glossy-plumaged | 1          |
| gloves          | 1          |
| glow            | 3          |
| glowed          | 1          |
| glowing         | 7          |
| glummest        | 1          |
| gnarled         | 1          |
| go              | 162        |
| goals           | 1          |
| god             | 4          |
| goes            | 20         |
| goin            | 18         |
| going           | 111        |
| gold            | 9          |
| gold-colored    | 2          |
| golden          | 9          |
| gone            | 37         |
| good            | 97         |
| good-by         | 2          |
| good-hearted    | 1          |
| good-humoredly  | 1          |
| good-natured    | 8          |
| good-naturedly  | 1          |
| good-tempered   | 2          |
| goodly          | 1          |
| goodness        | 2          |
| goods           | 1          |
| gooseberry      | 1          |
| gorse           | 9          |
| gossipin        | 1          |
| got             | 110        |
| govern          | 1          |
| governess       | 8          |
| governesses     | 2          |
| government      | 1          |
| grabbin         | 1          |
| graces          | 1          |
| gradually       | 8          |
| graidelest      | 1          |
| graidely        | 6          |
| grand           | 13         |
| grander         | 1          |
| grandeur        | 1          |
| grandly         | 4          |
| grandmama       | 2          |
| granted         | 1          |
| grass           | 56         |
| grate           | 4          |
| grateful        | 2          |
| gratefully      | 1          |
| gratified       | 1          |
| gratitude       | 1          |
| grave           | 1          |
| gravely         | 1          |
| graves          | 1          |
| gray            | 38         |
| grayness        | 2          |
| great           | 70         |
| greatest        | 2          |
| greatly         | 2          |
| green           | 51         |
| greener         | 3          |
| greenery        | 1          |
| greenhouse      | 1          |
| greenish        | 1          |
| greenness       | 2          |
| greeted         | 1          |
| grew            | 20         |
| grin            | 8          |
| grinding        | 1          |
| grinned         | 4          |
| grinning        | 2          |
| grins           | 2          |
| groanin         | 1          |
| groans          | 1          |
| gross           | 1          |
| ground          | 16         |
| grounds         | 2          |
| group           | 2          |
| grow            | 45         |
| growed          | 4          |
| growin          | 3          |
| growing         | 27         |
| grown           | 8          |
| grown-up        | 5          |
| grows           | 6          |
| grumbled        | 1          |
| grumbling       | 1          |
| grumpy          | 1          |
| grunt           | 4          |
| grunted         | 2          |
| grunting        | 1          |
| grunts          | 1          |
| guard           | 2          |
| guardian        | 2          |
| guess           | 1          |
| guessed         | 1          |
| guessin         | 1          |
| gulp            | 2          |
| gulped          | 5          |
| gust            | 1          |
| gusts           | 2          |
| gutenberg       | 97         |
| ha              | 2          |
| habit           | 1          |
| had             | 948        |
| hadn            | 6          |
| hadna           | 1          |
| hair            | 22         |
| half            | 29         |
| half-crazy      | 1          |
| half-drowned    | 1          |
| half-frightened | 1          |
| half-hours      | 1          |
| half-insane     | 1          |
| half-resentful  | 1          |
| half-way        | 3          |
| half-witted     | 3          |
| halfway         | 1          |
| hall            | 10         |
| ham             | 2          |
| hammer          | 1          |
| hand            | 69         |
| handed          | 3          |
| handing         | 2          |
| handkerchief    | 3          |
| handle          | 8          |
| handles         | 1          |
| hands           | 34         |
| handsome        | 5          |
| hang            | 1          |
| hanging         | 12         |
| hangings        | 4          |
| happen          | 14         |
| happened        | 25         |
| happening       | 9          |
| happens         | 2          |
| happiness       | 1          |
| happy           | 20         |
| harangued       | 1          |
| hard            | 16         |
| harder          | 1          |
| hardly          | 1          |
| harm            | 9          |
| harmless        | 2          |
| hart            | 1          |
| has             | 85         |
| hasn            | 15         |
| hastily         | 2          |
| hat             | 9          |
| hatched         | 1          |
| hatches         | 1          |
| hate            | 15         |
| hated           | 16         |
| hates           | 9          |
| hatred          | 1          |
| haughtily       | 2          |
| have            | 266        |
| haven           | 4          |
| havin           | 1          |
| having          | 12         |
| hawks           | 1          |
| haworth         | 3          |
| haze            | 1          |
| hazy            | 2          |
| he              | 1948       |
| head            | 85         |
| headache        | 2          |
| headlong        | 1          |
| heads           | 6          |
| health          | 2          |
| healthier       | 2          |
| healthily       | 3          |
| healthy         | 12         |
| healthy-minded  | 1          |
| heap            | 2          |
| heaps           | 2          |
| hear            | 51         |
| heard           | 95         |
| hearin          | 1          |
| hearing         | 2          |
| hearken         | 1          |
| hears           | 1          |
| heart           | 15         |
| heart-breaking  | 1          |
| heart-broken    | 1          |
| hearth          | 6          |
| hearth-rug      | 5          |
| heartily        | 2          |
| heartless       | 1          |
| hearty          | 2          |
| heathen         | 1          |
| heather         | 13         |
| heather-bells   | 1          |
| heaven          | 3          |
| heavenly        | 4          |
| heavier         | 2          |
| heavily         | 5          |
| heaving         | 1          |
| heavy           | 8          |
| hedgerow        | 1          |
| hedges          | 4          |
| heels           | 6          |
| height          | 1          |
| heights         | 1          |
| held            | 43         |
| help            | 36         |
| helped          | 5          |
| helping         | 1          |
| helpless        | 3          |
| helplessly      | 1          |
| helps           | 2          |
| her             | 953        |
| herbaceous      | 1          |
| herbs           | 1          |
| here            | 125        |
| hers            | 2          |
| hersel          | 1          |
| herself         | 92         |
| hesitate        | 1          |
| hesitated       | 5          |
| hesitating      | 1          |
| hesitatingly    | 1          |
| hibiscus        | 1          |
| hid             | 3          |
| hidden          | 9          |
| hidden-away     | 1          |
| hide            | 6          |
| hideous         | 2          |
| hidin           | 4          |
| hiding          | 5          |
| high            | 19         |
| higher          | 5          |
| highly          | 4          |
| highness        | 1          |
| highroad        | 1          |
| hills           | 2          |
| hilly           | 1          |
| him             | 558        |
| himsel          | 1          |
| himself         | 87         |
| hindustani      | 2          |
| hint            | 1          |
| hips            | 1          |
| his             | 751        |
| hissel          | 1          |
| hitherto        | 1          |
| hoarse          | 2          |
| hoarsely        | 4          |
| hobble          | 1          |
| hobbled         | 1          |
| hobnailed       | 1          |
| hodgson         | 2          |
| hoe             | 2          |
| hold            | 12         |
| holder          | 4          |
| holding         | 7          |
| hole            | 16         |
| holes           | 3          |
| hollow          | 4          |
| hollows         | 1          |
| holly           | 1          |
| holy            | 1          |
| home            | 23         |
| home-made       | 1          |
| homecoming      | 1          |
| homely          | 2          |
| homes           | 2          |
| honey           | 3          |
| hoof            | 1          |
| hooray          | 3          |
| hop             | 3          |
| hope            | 8          |
| hoped           | 7          |
| hoping          | 2          |
| hopped          | 13         |
| hopping         | 4          |
| hops            | 2          |
| horrible        | 2          |
| horribly        | 2          |
| horrid          | 3          |
| horrified       | 1          |
| horses          | 4          |
| host            | 1          |
| hot             | 21         |
| hotel           | 2          |
| hounds          | 1          |
| houppe          | 1          |
| hour            | 15         |
| hourly          | 1          |
| hours           | 12         |
| house           | 61         |
| housekeeper     | 4          |
| housekeepin     | 1          |
| housemaid       | 3          |
| housemaids      | 2          |
| houses          | 3          |
| how             | 141        |
| however         | 13         |
| howsoever       | 1          |
| huddled         | 3          |
| hue             | 2          |
| huge            | 6          |
| human           | 8          |
| humans          | 3          |
| humiliation     | 1          |
| hummin          | 3          |
| humming         | 3          |
| humor           | 7          |
| humped          | 1          |
| humph           | 1          |
| humps           | 2          |
| hunch           | 2          |
| hunchback       | 11         |
| hunching        | 1          |
| hundred         | 19         |
| hundreds        | 5          |
| hung            | 9          |
| hunger          | 1          |
| hungry          | 18         |
| hunt            | 1          |
| hunters         | 1          |
| hunting         | 1          |
| hurried         | 3          |
| hurriedly       | 2          |
| hurry           | 7          |
| hurrying        | 3          |
| hurt            | 4          |
| hush            | 1          |
| hush-h          | 1          |
| husky           | 1          |
| huts            | 2          |
| hypertext       | 1          |
| hypochondriac   | 1          |
| hysteria        | 1          |
| hysterical      | 8          |
| hysterics       | 12         |
| i               | 1431       |
| idea            | 15         |
| identification  | 1          |
| identify        | 1          |
| if              | 537        |
| ignorance       | 1          |
| ignorant        | 2          |
| ii              | 2          |
| iii             | 2          |
| ill             | 37         |
| ill-natured     | 1          |
| ill-tempered    | 1          |
| illness         | 2          |
| illustration    | 1          |
| illustrations   | 2          |
| imagination     | 2          |
| imagine         | 4          |
| imagined        | 2          |
| imagining       | 1          |
| imitated        | 1          |
| imitation       | 1          |
| immediate       | 2          |
| immediately     | 2          |
| immense         | 5          |
| immensely       | 3          |
| impartially     | 1          |
| impatience      | 1          |
| imperious       | 4          |
| imperiously     | 2          |
| impidint        | 1          |
| implied         | 2          |
| implored        | 1          |
| imploringly     | 1          |
| impolitely      | 1          |
| important       | 5          |
| imposed         | 1          |
| imposing        | 1          |
| impress         | 1          |
| impressed       | 1          |
| improve         | 2          |
| improved        | 1          |
| improvement     | 1          |
| improving       | 1          |
| impudence       | 2          |
| impudent        | 2          |
| in              | 1110       |
| inaccurate      | 1          |
| inactive        | 1          |
| incantations    | 1          |
| inch            | 1          |
| inches          | 1          |
| incident        | 1          |
| incidental      | 1          |
| incidents       | 1          |
| inclined        | 2          |
| include         | 1          |
| included        | 4          |
| includes        | 1          |
| including       | 9          |
| incomplete      | 1          |
| increased       | 1          |
| increasing      | 2          |
| incredulously   | 1          |
| indeed          | 18         |
| indemnify       | 1          |
| indemnity       | 1          |
| india           | 50         |
| indian          | 9          |
| indicate        | 1          |
| indicating      | 1          |
| indifference    | 4          |
| indifferently   | 3          |
| indignant       | 3          |
| indignantly     | 5          |
| indignation     | 2          |
| indirect        | 1          |
| indirectly      | 1          |
| individual      | 4          |
| indoors         | 1          |
| indulgently     | 1          |
| industriously   | 1          |
| information     | 8          |
| infringement    | 1          |
| inheriting      | 1          |
| injurious       | 1          |
| injury          | 1          |
| ink             | 2          |
| inkstand        | 1          |
| inlaid          | 1          |
| inn             | 1          |
| innermost       | 1          |
| innocent        | 1          |
| inordinately    | 1          |
| inquire         | 1          |
| inquired        | 24         |
| inquiring       | 1          |
| inquiringly     | 1          |
| insane          | 2          |
| insect          | 1          |
| insects         | 1          |
| inside          | 27         |
| insisted        | 3          |
| inspect         | 1          |
| inspiration     | 4          |
| inspired        | 1          |
| instant         | 1          |
| instead         | 18         |
| instinct        | 1          |
| instructed      | 1          |
| instructions    | 1          |
| insult          | 1          |
| insulted        | 2          |
| intellectual    | 2          |
| intelligent     | 1          |
| intend          | 4          |
| intended        | 2          |
| intensely       | 2          |
| intention       | 3          |
| intently        | 3          |
| interest        | 7          |
| interested      | 17         |
| interesting     | 4          |
| interfere       | 1          |
| interferin      | 1          |
| internal        | 1          |
| international   | 1          |
| interpreted     | 1          |
| interrupted     | 2          |
| intervals       | 2          |
| intimate        | 2          |
| into            | 190        |
| introduction    | 1          |
| intruder        | 1          |
| invalid         | 11         |
| invalidity      | 1          |
| invalids        | 1          |
| invented        | 1          |
| investigating   | 1          |
| invited         | 1          |
| involuntary     | 1          |
| iris            | 2          |
| iron            | 7          |
| irritably       | 1          |
| irritate        | 1          |
| irs             | 1          |
| is              | 397        |
| island          | 1          |
| isn             | 21         |
| it              | 1534       |
| italian         | 1          |
| its             | 61         |
| itself          | 19         |
| iv              | 2          |
| ivied           | 4          |
| ivory           | 9          |
| ivory-white     | 2          |
| ivy             | 28         |
| ivy-covered     | 2          |
| ix              | 2          |
| jack            | 1          |
| jackasses       | 1          |
| jacket          | 1          |
| jackets         | 1          |
| jam             | 2          |
| jane            | 1          |
| jaw             | 2          |
| jaws            | 1          |
| jem             | 3          |
| jerk            | 1          |
| jerked          | 2          |
| jerking         | 2          |
| jet             | 1          |
| jewels          | 1          |
| jography        | 1          |
| john            | 4          |
| joined          | 1          |
| joint           | 1          |
| joints          | 1          |
| jokin           | 1          |
| joking          | 1          |
| jolt            | 1          |
| jonquils        | 1          |
| journey         | 4          |
| joy             | 14         |
| joyful          | 4          |
| joyfully        | 3          |
| joyfulness      | 2          |
| joyous          | 2          |
| joyously        | 1          |
| juicy           | 1          |
| jump            | 16         |
| jumped          | 8          |
| jumps           | 1          |
| just            | 135        |
| keep            | 51         |
| keepin          | 2          |
| keeping         | 7          |
| keeps           | 5          |
| kep             | 2          |
| kept            | 24         |
| ketched         | 1          |
| key             | 32         |
| keyhole         | 1          |
| keys            | 1          |
| kicked          | 1          |
| kid             | 1          |
| kill            | 1          |
| killed          | 3          |
| kind            | 18         |
| kindly          | 1          |
| kindness        | 1          |
| king            | 7          |
| kingdom         | 2          |
| kiss            | 6          |
| kissed          | 3          |
| kitchen         | 4          |
| kitchen-garden  | 3          |
| kitchen-gardens | 3          |
| knee            | 1          |
| kneeled         | 1          |
| kneeling        | 4          |
| knees           | 4          |
| knelt           | 7          |
| knew            | 87         |
| knife           | 4          |
| knit            | 1          |
| knitting        | 5          |
| knob            | 3          |
| knobstick       | 1          |
| knock-kneed     | 1          |
| knocked         | 1          |
| knocks          | 1          |
| know            | 177        |
| knowed          | 18         |
| knowin          | 5          |
| knowing         | 11         |
| knowledge       | 1          |
| known           | 14         |
| knows           | 46         |
| la              | 1          |
| lace            | 4          |
| lad             | 45         |
| ladder          | 5          |
| ladies          | 3          |
| lads            | 3          |
| lady            | 11         |
| laid            | 7          |
| lain            | 3          |
| lake            | 7          |
| lakes           | 1          |
| lamb            | 19         |
| lamps           | 4          |
| lances          | 2          |
| land            | 4          |
| landscapes      | 1          |
| lanes           | 2          |
| language        | 5          |
| languid         | 2          |
| languidly       | 1          |
| lap             | 5          |
| lapping         | 1          |
| large           | 10         |
| larger          | 2          |
| larkspur        | 1          |
| larkspurs       | 1          |
| lashes          | 6          |
| lass            | 7          |
| last            | 58         |
| late            | 16         |
| lately          | 1          |
| later           | 5          |
| lath            | 1          |
| laugh           | 28         |
| laughable       | 2          |
| laughed         | 36         |
| laughin         | 5          |
| laughing        | 29         |
| laughs          | 2          |
| laughter        | 5          |
| laurel          | 1          |
| laurel-hedged   | 1          |
| laurels         | 1          |
| law             | 8          |
| lawn            | 4          |
| lawns           | 1          |
| laws            | 10         |
| lay             | 22         |
| layin           | 1          |
| laying          | 1          |
| lead            | 1          |
| leaded          | 1          |
| leading         | 1          |
| leaf            | 3          |
| leaf-bud        | 1          |
| leafbuds        | 1          |
| leafless        | 1          |
| leaned          | 13         |
| leaning         | 3          |
| leaped          | 2          |
| leaping         | 1          |
| learn           | 13         |
| learned         | 6          |
| learnin         | 4          |
| learning        | 4          |
| learns          | 2          |
| least           | 25         |
| leathery        | 1          |
| leave           | 11         |
| leaves          | 25         |
| leaving         | 2          |
| lecture         | 5          |
| lecturer        | 1          |
| lectures        | 3          |
| lecturin        | 2          |
| led             | 13         |
| leein           | 1          |
| left            | 34         |
| leg             | 1          |
| legal           | 2          |
| legally         | 1          |
| legs            | 23         |
| length          | 2          |
| leniently       | 1          |
| lennox          | 17         |
| less            | 4          |
| lessons         | 1          |
| lest            | 1          |
| let             | 68         |
| lets            | 3          |
| letter          | 8          |
| letters         | 9          |
| lettin          | 3          |
| letting         | 2          |
| liability       | 3          |
| liable          | 1          |
| liberties       | 1          |
| liberty         | 1          |
| library         | 7          |
| license         | 18         |
| licensed        | 1          |
| lichen          | 1          |
| lie             | 17         |
| lies            | 4          |
| lieu            | 2          |
| life            | 24         |
| lifeless-looking | 2          |
| lifetime        | 1          |
| lift            | 1          |
| lifted          | 16         |
| lifting         | 2          |
| lifts           | 1          |
| light           | 23         |
| lighted         | 6          |
| lighting        | 1          |
| lightly         | 2          |
| lightness       | 1          |
| lightning       | 2          |
| lights          | 2          |
| likable         | 1          |
| like            | 350        |
| liked           | 38         |
| likely          | 6          |
| likes           | 19         |
| likin           | 1          |
| liking          | 2          |
| lilac           | 1          |
| lilias          | 3          |
| lilies          | 8          |
| limbs           | 3          |
| limitation      | 3          |
| limited         | 5          |
| limp            | 2          |
| line            | 3          |
| lines           | 1          |
| linked          | 1          |
| links           | 3          |
| lion            | 2          |
| lions           | 1          |
| lips            | 6          |
| lisabeth        | 1          |
| listen          | 14         |
| listened        | 27         |
| listener        | 1          |
| listenin        | 2          |
| listening       | 16         |
| literary        | 13         |
| litter          | 2          |
